island,scenario,eligible_acres,mw_at_5ac,mw_at_7ac
Hawaii,S0_current_10pct_20ac,20043.2,4008.6,2863.3
Hawaii,S1_10pct_nocap,51156.7,10231.3,7308.1
Hawaii,S2_20pct_20ac,31352.9,6270.6,4479.0
Hawaii,S3_20pct_nocap,90241.3,18048.3,12891.6
Hawaii,S4_all_BC,241783.9,48356.8,34540.6
Kauai,S0_current_10pct_20ac,4162.3,832.5,594.6
Kauai,S1_10pct_nocap,12397.5,2479.5,1771.1
Kauai,S2_20pct_20ac,5919.9,1184.0,845.7
Kauai,S3_20pct_nocap,22680.1,4536.0,3240.0
Kauai,S4_all_BC,50666.2,10133.2,7238.0
Lanai,S0_current_10pct_20ac,71.1,14.2,10.2
Lanai,S1_10pct_nocap,2627.0,525.4,375.3
Lanai,S2_20pct_20ac,98.2,19.6,14.0
Lanai,S3_20pct_nocap,3894.5,778.9,556.4
Lanai,S4_all_BC,4046.8,809.4,578.1
Maui,S0_current_10pct_20ac,5512.5,1102.5,787.5
Maui,S1_10pct_nocap,13032.5,2606.5,1861.8
Maui,S2_20pct_20ac,8399.6,1679.9,1199.9
Maui,S3_20pct_nocap,22474.7,4494.9,3210.7
Maui,S4_all_BC,49062.4,9812.5,7008.9
Molokai,S0_current_10pct_20ac,587.9,117.6,84.0
Molokai,S1_10pct_nocap,1668.2,333.6,238.3
Molokai,S2_20pct_20ac,736.4,147.3,105.2
Molokai,S3_20pct_nocap,2266.1,453.2,323.7
Molokai,S4_all_BC,3494.5,698.9,499.2
Oahu,S0_current_10pct_20ac,3601.1,720.2,514.4
Oahu,S1_10pct_nocap,9409.8,1882.0,1344.3
Oahu,S2_20pct_20ac,4743.0,948.6,677.6
Oahu,S3_20pct_nocap,15656.6,3131.3,2236.7
Oahu,S4_all_BC,34370.5,6874.1,4910.1
STATEWIDE,S0_current_10pct_20ac,33978.0,6795.6,4854.0
STATEWIDE,S1_10pct_nocap,90291.7,18058.3,12898.8
STATEWIDE,S2_20pct_20ac,51249.9,10250.0,7321.4
STATEWIDE,S3_20pct_nocap,157213.3,31442.7,22459.0
STATEWIDE,S4_all_BC,383424.3,76684.9,54774.9
