cluster_acres,a_acres,bc_acres,de_acres,mw_5ac,mw_7ac,ext_km_to_cluster_edge,direction_to_corridor,nearest_corridor,acres_per_km,centroid_lon,centroid_lat
14368,1551,2789,10029,2563,1831,3.0,NE,WAHIAWA - TAP161470 (46kV+),4802,-158.1447,21.5289
6950,126,225,6599,1365,975,3.0,W,KAHE 1 - KAHE 2 (138kV),2319,-158.1428,21.4548
2763,9,747,2007,551,393,3.0,N,MAUKA FIT ONE - UNKNOWN167593 (46kV+),923,-157.9495,21.6405
1536,0,695,842,307,219,3.0,S,TAP161467 - UNKNOWN161468 (46kV+),513,-158.0166,21.565
2852,0,983,1869,570,407,5.6,S,HAIAWA - RISER155668 (138kV),507,-157.8529,21.5082
1345,1,1282,62,269,192,3.0,W,KALAELOA - EWA NUI (138kV),449,-158.0099,21.3404
1065,0,908,156,213,152,3.0,NW,EWA NUI - WAIAU 1 (138kV),355,-157.9871,21.3602
1742,5,855,882,347,248,9.2,NW,MAUKA FIT ONE - UNKNOWN167593 (46kV+),190,-157.897,21.5831
502,0,113,389,100,72,3.0,W,UNKNOWN161476 - RISER167590 (46kV+),168,-158.0243,21.5969
1042,0,0,1042,208,149,9.9,SE,KAHE 1 - KAHE 2 (138kV),106,-158.2175,21.5049
282,0,2,279,56,40,3.0,NW,UNKNOWN161475 - TAP167592 (46kV+),94,-158.0083,21.6568
167,0,0,167,33,24,3.0,SW,KAHE 1 - KAHE 2 (138kV),56,-158.1138,21.4082
114,0,0,114,23,16,8.3,E,UNKNOWN161473 - TAP161474 (46kV+),14,-158.197,21.5761
