county_layer,owner,parcel_acres,b_acres,c_acres,S0_current_10pct_20ac,S1_10pct_nocap,S2_20pct_20ac,S3_20pct_nocap,S4_all_BC
parcels_hawaii,other,272356.8,10813.7,57354.5,9122.0,9282.0,17048.3,17944.6,68168.2
parcels_hawaii,PR Mauna Kea,77568.1,3958.6,21843.0,162.4,7736.7,183.6,15295.3,25801.6
parcels_hawaii,Govt. State DHHL,114395.0,5523.3,23829.5,1871.2,6682.0,2429.6,11703.9,29352.8
parcels_hawaii,Kamehameha Schools,294070.3,9078.0,23481.0,3012.1,6900.6,4027.7,11296.3,32559.1
parcels_hawaii,Govt. State,743174.6,6945.6,25257.3,1582.0,6750.0,2100.7,11136.4,32202.9
parcels_kauai,STATE OF HAWAII-ADC,19092.3,7222.9,3005.0,40.6,1896.0,41.1,3791.9,10227.9
parcels_hawaii,Govt. Federal,369729.8,35.5,4708.5,215.0,3156.3,221.6,3751.4,4744.1
parcels_kauai,GROVE FARM CO INC,29354.0,2898.2,2580.8,261.4,1653.2,302.2,3032.5,5479.0
parcels_kauai,ROBINSON FAMILY PARTNERS,50458.0,2525.4,931.4,228.4,1628.6,254.3,2817.1,3456.9
parcels_hawaii,PR Kohala,11170.2,318.2,3673.6,165.5,1106.6,170.9,2213.2,3991.7
parcels_kauai,HAWAIIAN HOME LANDS,19781.4,1454.8,1393.6,309.2,1084.3,430.2,1528.0,2848.4
parcels_hawaii,E.C. Olson,11277.9,1370.5,2134.7,248.6,760.4,315.1,1413.1,3505.3
parcels_hawaii,Kukaiau Land and Cattle,6677.2,1871.6,3336.0,127.0,667.7,150.1,1335.4,5207.5
parcels_hawaii,W.H. Shipman,16758.0,0.0,1527.8,238.5,529.2,274.8,902.0,1527.8
parcels_hawaii,Kahua Ranch,4053.5,519.6,1704.0,65.0,405.3,70.0,810.7,2223.6
parcels_hawaii,Ponoholo Ranch,4083.2,300.9,1858.5,122.7,405.3,182.6,810.6,2159.4
parcels_hawaii,Govt. State DOA,6179.4,1384.3,1337.1,184.1,462.7,220.9,765.3,2721.4
parcels_kauai,MAHAULEPU FARM LLC,3810.4,1919.4,173.0,95.2,379.3,110.3,758.7,2092.4
parcels_hawaii,Lanihau,5097.2,0.0,1092.3,63.4,462.3,63.6,755.4,1092.3
parcels_hawaii,Govt. County of Hawaii,9264.3,258.2,1703.7,253.6,382.5,374.0,720.0,1961.9
parcels_hawaii,Ho'okipa Ranch,7040.9,0.0,1121.9,177.6,421.2,232.7,719.5,1121.9
parcels_kauai,BBCP KAUAI OPERATING LLC,7198.7,912.6,109.8,111.5,410.1,119.0,719.0,1022.4
parcels_kauai,WILLIAM HYDE RICE LTD,2930.9,0.0,956.0,21.4,286.0,21.4,570.6,956.0
parcels_kauai,CUMBERLAND AND WESTERN RESOURCES LLC,2738.3,239.7,521.1,40.0,273.1,40.0,546.3,760.8
parcels_kauai,STATE OF HAWAII,45455.4,742.0,358.9,194.9,294.8,248.6,489.1,1100.9
parcels_kauai,PRW PRINCEVILLE DEVELOPMENT COMPANY LLC,2555.8,0.0,636.2,51.6,242.8,62.3,462.4,636.2
parcels_hawaii,Queen Emma Foundation,8749.9,0.0,842.9,20.0,229.2,20.0,458.5,842.9
parcels_hawaii,HCF Land Holdings,2439.8,100.1,1287.3,164.8,226.8,205.4,453.7,1387.4
parcels_kauai,"KNUDSEN,ERIC A TR",3198.5,86.8,1108.4,89.0,221.8,97.4,422.0,1195.2
parcels_hawaii,Bang San Ho Temple,3510.2,0.0,1430.6,211.4,211.4,345.6,409.1,1430.6
parcels_hawaii,Abju,1974.4,610.6,1149.2,20.0,197.4,20.0,394.9,1759.8
parcels_hawaii,Hawaiian Mac. Nut Orch.,6238.2,149.9,1336.4,147.5,205.8,209.1,388.6,1486.3
parcels_hawaii,Paauilo Land & Livestock,2528.0,0.0,348.7,20.0,252.8,20.0,348.7,348.7
parcels_kauai,CORNERSTONE I CONDOMINIUM,1676.1,305.5,266.8,20.0,167.6,20.0,335.2,572.2
parcels_hawaii,Kau Royal Hawaiian Coffee,1642.5,4.0,1180.2,20.5,164.3,20.9,328.5,1184.2
parcels_hawaii,Queen Liliuokalani Trust,5759.9,0.0,785.9,64.5,228.0,67.3,311.4,785.9
parcels_hawaii,Ka'u Sunshine,3090.5,174.5,404.5,70.9,236.8,90.6,304.8,579.1
parcels_hawaii,Teppy Mountain,12886.8,0.0,726.1,21.5,149.1,21.5,296.7,726.1
parcels_hawaii,Yee Hop,21643.4,0.0,294.9,71.3,294.9,71.3,294.9,294.9
parcels_kauai,HALAULANI CONDOMINIUM,1404.2,0.0,489.0,20.0,140.4,20.0,280.8,489.0
