tmk,parcel_acres,bc_acres,bc10_acres,grid_cell,selection_rank
153011009,1372.108,73.31,62.72,c015_r015,1
161004058,19.87,0.14,0.15,c005_r017,2
196002029,11.284,5.51,5.54,c012_r004,3
162002001,192.487,0.44,0.02,c005_r016,4
153006049,1.603,0.06,0.07,c016_r015,5
142013021,2.567,0.84,0.69,c023_r004,6
142005021,2.005,1.27,0.57,c024_r003,7
165002010,303.377,293.28,291.68,c007_r012,8
158002006,1063.452,59.39,0.07,c010_r020,9
192001020,1688.84,279.95,132.35,c008_r005,10
186005009,5.001,5.0,4.97,c003_r007,11
142010004,80.32,5.79,1.68,c022_r002,12
156002022,38.027,32.2,32.12,c013_r021,13
192002007,843.834,184.44,57.48,c007_r004,14
164003016,520.968,315.37,302.95,c008_r013,15
164004007,225.305,92.57,69.71,c009_r012,16
191015002,14.29,2.63,2.57,c005_r001,17
196004030,15.612,1.24,0.17,c011_r005,18
191181021,1.432,0.27,0.27,c009_r002,19
193002034,150.616,1.46,1.43,c011_r004,20
167001006,2.243,0.88,1.09,c003_r015,21
186003042,227.181,0.54,0.1,c003_r008,22
192043005,20.395,8.97,7.71,c006_r001,23
167002042,426.953,63.02,44.55,c003_r014,24
168013060,2.233,0.33,0.37,c002_r015,25
186009006,11.78,0.69,0.67,c002_r008,26
176001002,3.178,0.41,0.37,c009_r009,27
194006212,171.224,0.06,0.1,c010_r007,28
191181001,87.921,3.95,3.95,c009_r003,29
159018019,1.948,0.33,0.35,c007_r019,30
161004064,0.332,0.02,0.02,c006_r017,31
191182007,18.796,18.8,18.31,c008_r001,32
149004001,151.301,90.35,90.27,c019_r011,33
196004021,72.646,11.37,8.72,c011_r007,34
161007001,1671.878,650.48,517.07,c008_r016,35
156001004,74.103,46.66,46.09,c014_r019,36
185003031,58.494,6.29,3.95,c001_r008,37
191010013,20.61,4.56,2.64,c010_r001,38
155006011,49.695,10.16,9.93,c014_r017,39
149001001,100.248,23.26,9.83,c018_r011,40
159006018,106.335,6.12,0.59,c009_r019,41
195002039,93.403,0.16,0.12,c011_r010,42
165001039,107.926,61.24,17.96,c005_r013,43
148012001,51.549,21.65,5.54,c017_r009,44
155005002,0.643,0.03,0.02,c014_r018,45
194006052,0.947,0.01,0.05,c010_r006,46
171012010,262.061,244.23,239.89,c008_r010,47
177001001,10052.427,1439.58,0.05,c006_r010,48
156003053,92.401,2.36,2.35,c012_r022,49
167002044,156.04,3.1,1.31,c004_r014,50
171002035,2.64,1.91,1.88,c010_r011,51
141010106,46.115,2.06,0.27,c023_r002,52
194172005,36.428,2.3,1.51,c010_r005,53
168013065,2.312,2.31,2.27,c002_r014,54
164003019,14.271,9.22,9.14,c008_r012,55
156006058,99.417,94.56,90.79,c013_r020,56
187018014,4.718,0.64,0.62,c002_r005,57
165005009,432.959,45.77,14.11,c005_r014,58
194172001,480.096,1.84,0.05,c009_r005,59
148006009,3.076,0.78,0.62,c017_r010,60
165001049,178.641,4.12,0.15,c006_r012,61
162009001,1426.687,210.55,98.45,c006_r016,62
168003006,934.433,47.3,44.03,c001_r014,63
153007023,143.799,38.12,18.98,c016_r014,64
192019096,44.084,2.84,0.77,c006_r002,65
171012015,57.815,55.91,52.46,c008_r011,66
198016059,10.743,9.55,7.73,c013_r004,67
193002009,57.357,1.38,0.54,c010_r004,68
185006004,1126.098,0.91,0.49,c002_r009,69
195002057,150.332,2.39,1.78,c010_r010,70
163001003,1170.974,0.52,0.02,c011_r013,71
168002017,32.251,0.03,0.02,c000_r014,72
156002008,0.237,0.24,0.22,c012_r021,73
156005002,27.289,18.23,13.62,c011_r021,74
194012011,42.885,0.5,0.02,c008_r009,75
192002008,101.492,29.51,12.95,c007_r003,76
196005013,2627.481,232.41,103.12,c012_r007,77
166010012,0.118,0.0,0.02,c005_r015,78
165005003,540.916,59.93,26.54,c006_r014,79
156003054,37.132,0.03,0.02,c011_r022,80
167004001,1573.215,1.05,0.12,c005_r012,81
166012003,11.957,10.46,10.45,c004_r015,82
176001001,4984.618,831.13,0.62,c012_r010,83
195012010,1.057,0.37,0.07,c009_r008,84
194003002,135.055,13.02,9.34,c009_r006,85
171002022,0.771,0.77,0.32,c009_r011,86
165001033,51.146,17.67,10.55,c006_r013,87
191010015,385.323,382.29,0.22,c010_r002,88
164004012,38.013,5.04,3.88,c009_r013,89
195003002,7.621,0.3,0.1,c011_r008,90
141035009,9.415,4.42,3.51,c024_r002,91
148013014,231.077,0.4,0.07,c016_r010,92
192005001,3.982,3.98,3.26,c007_r007,93
196005001,768.178,20.63,6.87,c013_r007,94
194003001,876.467,85.33,28.79,c008_r006,95
159006031,1.096,1.1,0.99,c008_r020,96
192002001,96.769,17.12,5.34,c006_r003,97
142011029,411.845,19.9,3.06,c022_r003,98
156006048,9.802,9.8,8.23,c012_r020,99
156006006,435.576,305.46,263.66,c013_r019,100
194004004,559.839,67.92,49.47,c008_r007,101
141009001,12.511,0.47,0.47,c025_r002,102
163001004,2400.081,0.88,0.1,c010_r015,103
153012001,83.913,82.51,72.35,c015_r016,104
161005001,1490.916,244.52,121.28,c007_r017,105
168009001,6.655,0.16,0.17,c001_r015,106
195003010,128.912,32.14,27.21,c012_r009,107
168003005,436.647,1.08,0.27,c001_r013,108
134021028,2.601,0.68,0.27,c022_r000,109
194012006,2.297,2.3,2.32,c007_r009,110
192005026,1361.089,516.85,0.07,c006_r009,111
194003007,96.468,9.25,5.12,c009_r007,112
191018009,21.834,0.02,0.02,c009_r004,113
192004008,1271.944,45.98,3.34,c006_r004,114
192004011,11.62,2.96,1.98,c007_r006,115
187003008,8.453,0.46,0.44,c002_r006,116
191016004,54.305,13.24,6.55,c007_r002,117
161006001,2178.191,785.27,622.29,c008_r017,118
