name,osm_grp,acres,acres_le15,acres_le30,dist_46kv_km,dist_138kv_km,slud,zone_class,tmk,lon,lat,owner_rpad
Turtle Bay Golf,Turtle Bay Golf,455.2,455.2,455.6,0.18,22.46,Urban,P-2,156003062,-157.9862,21.7016,NORTH SHORE BAY OWNER LLC
Kealohi Golf Course,Hoakalei Country Club,271.6,261.1,271.5,1.25,1.25,Urban,P-2,191134056,-158.0247,21.3157,HOAKALEI COUNTRY CLUB GODO KAISHA
Hawaii Prince Golf Club,Hawaii Prince Golf Club,268.8,268.5,268.9,2.97,2.97,Ag,AG-2,191010121,-158.011,21.3275,HAWAII PRINCE HOTEL WAIKIKI LLC
__noname_221300526,__noname_221300526,222.1,222.1,222.1,0.97,0.97,Urban,F-1,191013163,-158.0398,21.3204,UNITED STATES OF AMERICA
Ko'olau Golf Club,Ko'olau Golf Club,221.1,111.3,196.6,0.0,0.0,Conservation,P-1,145042017,-157.7976,21.377,FIRST PRESBYTERIAN CHURCH/HON
Coral Creek Golf Course,Coral Creek Golf Course,194.9,171.4,193.0,1.17,1.17,Urban,P-2,191069011,-158.0315,21.3306,CORAL CREEK GOLF INC
Pearl Country Club,Pearl Country Club,193.2,135.6,182.5,0.3,0.3,Urban,P-2,198011034,-157.9338,21.3908,B P BISHOP TRUST ESTATE
Leilehua Golf Course,Leilehua Golf Course,192.1,191.7,191.9,0.08,0.14,Ag,F-1,176001001,-158.0189,21.4844,UNITED STATES OF AMERICA
Royal Hawaiian Golf Club,Royal Hawaiian Golf Club,191.7,78.1,161.0,0.0,0.14,Ag,AG-2,142008043,-157.7605,21.3559,"HRT, LTD"
Kapolei Golf Course,Kapolei Golf Course,190.4,180.7,190.3,0.44,0.44,Urban,P-2,191016227,-158.0625,21.3418,DAITO US INC
Ko Olina Golf Club,Ko Olina Golf Club,188.0,175.6,187.5,0.0,0.53,Urban,P-2,191056008,-158.1178,21.3383,KO OLINA GC LLC
Mamala Bay Golf Course,Mamala Bay Golf Course,183.7,182.4,183.9,2.38,2.38,Urban,F-1,111001001,-157.9364,21.3166,UNITED STATES OF AMERICA
Ewa Villages Golf Course,Ewa Villages Golf Course,181.9,160.8,180.8,0.06,0.06,Urban,AG-1,191182009,-158.0406,21.3435,CITY AND COUNTY OF HONOLULU
West Loch Golf Course,West Loch Golf Course,165.6,158.4,165.5,1.03,1.03,Ag,P-2,191181022,-158.0272,21.3659,CITY AND COUNTY OF HONOLULU
Executive Course,Hawaii Kai Golf Course,164.4,157.2,163.6,0.05,10.55,Urban,P-2,139010023,-157.6684,21.2948,B P BISHOP TRUST ESTATE
Pali Golf Course,Pali Golf Course,162.9,148.3,161.5,0.0,0.0,Conservation,P-1,145035001,-157.7877,21.3779,CITY AND COUNTY OF HONOLULU
Makaha Valley Country Club,Makaha Valley Country Club,158.2,131.1,153.5,6.73,14.3,Urban,P-2,184002005,-158.1957,21.4745,MAKAHA GOLF & RESORT LLC
Mililani Golf Course,Mililani Golf Course,156.4,149.2,152.0,1.1,2.03,Ag,P-2,195001035,-158.0234,21.4536,YHB MILILANI GC LLC
Navy Marine Golf Course,Navy Marine Golf Course,155.0,154.8,154.9,0.0,0.0,Urban,F-1,111010066,-157.9244,21.3429,UNITED STATES OF AMERICA
Royal Kunia Country Club,Royal Kunia Country Club,153.6,138.4,152.9,0.81,0.81,Urban,P-2,194002046,-158.0236,21.4064,JAC HAWAII INC
__noname_8987946,__noname_8987946,151.9,137.3,150.8,0.04,1.57,Urban,P-2,142002002,-157.725,21.3889,B P BISHOP TRUST ESTATE
Ewa Beach Golf Club,Ewa Beach Golf Club,149.7,148.8,149.7,4.79,4.79,Urban,AG-2,191001030,-157.9973,21.3228,YC EWA INC
Ted Makalena Golf Course,Ted Makalena Golf Course,149.2,149.2,149.3,1.56,1.56,Ag,P-2,193002034,-157.9967,21.3796,CITY AND COUNTY OF HONOLULU
Waiʻalae Country Club,Waiʻalae Country Club,145.0,143.2,144.9,1.18,3.7,Urban,P-2,135023001,-157.7758,21.2745,B P BISHOP TRUST ESTATE
Klipper Golf Course,Klipper Golf Course,140.5,127.7,137.8,2.15,2.28,Urban,F-1,144008001,-157.7484,21.4519,UNITED STATES OF AMERICA
Waikele Golf Club,Waikele Golf Club,132.7,113.5,132.1,0.0,0.0,Urban,P-2,194007010,-158.0049,21.4035,SNG USA CORP
Honolulu Country Club,Honolulu Country Club,132.6,132.3,132.8,0.78,0.78,Conservation,P-1,111063017,-157.906,21.3506,JJKOO HAWAII INC
Ala Wai Golf Course,Ala Wai Golf Course,131.4,131.1,131.3,1.54,4.65,Urban,P-2,127036002,-157.8192,21.2802,STATE OF HAWAII
__noname_1094652470,__noname_1094652470,124.0,115.3,123.7,0.0,3.61,Urban,P-2,141013010,-157.7267,21.3567,STATE OF HAWAII
Hawaii Country Club,Hawaii Country Club,123.2,89.8,120.7,1.38,1.38,Ag,P-2,194004020,-158.0519,21.4332,"LEGACY,WA LI TR"
Oʻahu Country Club,Oʻahu Country Club,107.5,73.2,106.3,2.19,2.19,Urban,P-2,119006001,-157.8409,21.3405,OAHU COUNTRY CLUB
Bayview,Bayview,89.5,67.6,81.5,0.57,1.23,Urban,P-2,145030051,-157.7865,21.4084,BAYVIEW KANEOHE GOLF PARK INC
Kahuku Golf Course,Kahuku Golf Course,58.7,56.5,58.7,0.32,21.28,Urban,AG-2,156002055,-157.9436,21.6791,CITY AND COUNTY OF HONOLULU
Fort Shafter Golf Course,Fort Shafter Golf Course,58.2,52.9,58.2,0.92,0.92,Urban,F-1,111008005,-157.8837,21.3507,UNITED STATES OF AMERICA
Moanalua Golf Club,Moanalua Golf Club,57.4,43.8,52.6,0.33,0.86,Urban,P-2,111012013,-157.8967,21.365,MOANALUA GOLF CLUB
Bellows Golf Course,Bellows Golf Course,15.8,15.8,15.8,1.72,4.29,Urban,F-1,141015001,-157.7123,21.3693,UNITED STATES OF AMERICA
